-177.3142920505304,-17.220277343828673,-160.27884425053043,-11.312048539388673|9992
-172.68981495690082,-61.29983645768663,-141.0014557569008,-45.97883645768663|9998
-133.07174899549634,-57.42122448642187,-99.04574899549633,-42.42122448642187|9938
-41.0261402755018,-87.15437993488912,-5.7629402478985625,-48.09902620645885|9938
-154.5619912955929,-21.5459458976942,-139.6999912955929,-13.7831869976942|9992
-94.17145618314753,-79.35199128428296,-50.19427258314752,-59.24599128428296|9952
-110.77036834776221,-27.647036669219027,-109.6947399695979,40.992551310526416|9996
-49.176713807523406,-86.42198364930887,2.600806992476599,-54.016571649308865|9924
-23.944526514265235,-77.49307150146758,47.31113508573476,-52.85182630146758|9922
-88.64233368086833,-41.5111992590895,-67.77714218294832,-35.1303948508893|9996
-45.52206597972663,-46.0789601222337,-29.37056637972663,-29.847416922233705|9926
-73.44943771008437,-55.63237030062738,-57.91889851008437,-44.43556059402738|9998
-48.90022254263699,-19.222255500357818,-41.90872254263699,-15.472255500357818|9972
-34.43717013882267,-16.15495508146406,-17.199830138822673,-10.744793612024061|9994
-25.954647116008744,-32.331116248354796,-10.159647116008744,-21.598616248354794|9940
-25.658169508943786,-15.294893639018838,-9.936669508943785,-9.168143639018838|9983
-142.01237851332402,-61.04402931619056,-107.26037851332401,-46.04402931619056|9966
-15.923994723241854,-79.028323920975,49.16330447675815,-51.530611489455|9968
-2.1704249242028117,-72.52562274868905,85.45315267579718,-55.279163948689046|9964
-15.418469617991962,-62.586480648943166,32.97153038200804,-41.343480648943164|9946
-134.14434812965405,-52.328836133009965,-100.39434812965405,-37.03183613300996|9984
-3.5961014299421223,-78.7280734614581,65.99954977005788,-53.758556335618096|9954
-26.31609680471936,-84.17499695436362,21.043943195280637,-48.13724121180362|9954
-7.793500693691642,-62.32025880932109,42.202377706308354,-41.27525880932109|9984
-173.62671454892242,-82.87748044105729,-125.33828734892242,-61.61750764105729|9968
-84.68945089078132,-32.6741480816649,-69.72845089078132,-24.739148081664904|9972
-108.07206815772606,-53.40383137109366,-80.50352375772607,-37.44478957109366|9990
-157.4627493964439,-29.233765874297255,-140.98645299644392,-17.540754693017256|10000
-108.3910125766309,-24.65357693463365,-88.1719702852309,-12.419973090633652|10000
-156.50715205776382,-24.913205259376877,-142.8886112577638,-15.402587559376876|9924
-87.99972746538572,-46.81295511740222,-66.05380346538573,-39.575619143002214|9920
-97.40467438357881,-6.657464952695421,-82.50367438357881,1.6840350473045786|9922
-89.09721424616284,-34.39373578998104,-73.23097924616283,-24.346405447981034|9936
-24.76725173328742,-23.059238445298412,-9.284348933287419,-14.769857853058411|10000
-148.3096103473314,-67.38432142050914,-110.14961034733139,-51.84132142050914|9968
-150.27459729785508,-37.91531069873101,-127.35812183874928,-23.00825910545101|10000
-127.5987747677565,-8.544687659280306,-109.66582836775649,3.7022501011196933|9986
-144.0577394157713,-22.71431631407068,-128.6616860157713,-11.750988245630678|9970
-114.75783179416419,-21.963335790407267,-109.53985604632419,22.322411675832736|9918
-6.397427173285905,-3.723532269982639,6.039029326714095,1.1912702300173605|9984
-88.19348957794236,-29.934051311610812,-73.19348957794236,-21.639051311610814|9964
-96.6074822195856,-34.89957197804855,-75.1068504911691,-24.671273966442556|9906
-88.4287133778073,-83.6785878455738,94.31552102674533,-69.49852316408503|9930
-29.020468018048124,-22.28011979269435,-14.020468018048124,-13.82461979269435|9902
-98.46591618251637,-47.52835973293051,-74.81391618251637,-33.50190473293051|9930
-110.9692862221888,-4.71142965264423,-92.5942862221888,5.951046747355771|9970
-119.4348982441508,-5.826943302081064,-98.8288629061508,6.443857675773991|10000
-95.09485360910736,-48.31610346426849,-69.77015423677032,-39.289785300086024|9918
-63.45979880415968,-13.206352360141699,-53.89523150415968,-9.2388523601417|9996
-7.789764513414543,-40.03935490956582,10.847566286585458,-27.24333250956582|9988
-70.65898889084475,-70.40683998011987,-33.527069690844755,-53.245148580119874|9948
-66.14166888515173,-38.60228326696883,-35.76512716288213,-34.688862979826034|9908
-11.276012428006155,-55.18676299774685,29.22219908911385,-37.010506997746845|9928
-81.42801237239254,-35.26211873822996,-66.21818997239254,-28.726024438229956|9992
-83.32488828389884,-5.758846265063627,-73.27000543553885,-1.7008070150636279|9998
-155.24772738028952,-37.611606244677084,-135.75482614420952,-21.087030244677084|9996
-174.36104311393706,-70.93724310210168,-137.64645031393707,-54.540942302101676|10000
-29.21708319616186,-12.936472096031391,-10.228583196161857,-8.650767421031391|9929
-30.10232432482614,-66.13388771669145,16.48091247517387,-45.120346916691446|9962
-152.39512467796442,-15.249309550988063,-135.59429907796442,-9.834128350988063|10000
-90.79641566870693,-70.57831849986786,-54.992705668706925,-54.125314099867865|9908
